1000,010101109910,Sofea,A001,Cadbury Chocolate,11,01-08-2022
1000,010101109910,Sofea,A002,Tropicana Twister,10,01-08-2022
1000,010101109910,Sofea,A003,Walls Magnum,17,01-08-2022
1002,021920100442,Alya,A001,Twisties Chipster,5,01-08-2022
1002,021920100442,Alya,A002,Kuaci,5,01-08-2022
1002,021920100442,Alya,A003,Cereal,5,01-08-2022
1002,021920100442,Alya,A004,Dutch Lady,3,01-08-2022
1003,001025101111,Yeonjun,A001,Nescafe,4,02-08-2022
1003,001025101111,Yeonjun,A002,Vida,4,02-08-2022
1003,001025101111,Yeonjun,A003,Farm Fresh Milk,10,02-08-2022
1003,001025101111,Yeonjun,A004,Orea,4,02-08-2022
1003,001025101111,Yeonjun,A005,Pringles,7,02-08-2022
1003,990913000909,Yeonjun,A006,Nongshim Shin Cup,6,02-08-2022
1003,990913000909,Yeonjun,A007,Nongshim Shin Cup,6,02-08-2022
1003,990913000909,Yeonjun,A008,Nongshim Shin Cup,6,02-08-2022
1004,761102092134,Asahi,A001,Coca-Cola,3,02-08-2022
1004,761102092134,Asahi,A002,Haribo,5,02-08-2022
1004,761102092134,Asahi,A003,Chipsmore,6,02-08-2022
1004,761102092134,Asahi,A004,Ramen,8,02-08-2022
1004,761102092134,Asahi,A005,Goodday Milk,10,02-08-2022
1004,761102092134,Asahi,A006,Haribo,5,02-08-2022
1005,700808120043,Haruto,A001,Coca-Cola,5,02-08-2022
1005,700808120043,Haruto,A002,Coca-Cola,5,02-08-2022
1005,700808120043,Haruto,A003,Coca-Cola,5,02-08-2022
1006,710103038235,Sunghoon,A001,Kinder Joy,7,03-08-2022
1005,710103038235,Sunghoon,A002,Yogurt,7,03-08-2022
1005,710103038235,Sunghoon,A003,Sanitizer,5,03-08-2022
1005,710103038235,Sunghoon,A004,Pen,2,03-08-2022
1005,710103038235,Sunghoon,A005,Slurpee,4,03-08-2022
1006,010505059762,Beomgyu,A001,Mister Potato,6,03-08-2022
1006,010505059762,Beomgyu,A002,Haribo,5,03-08-2022
1007,030616121230,Changbin,A001,Mini Rolls,3,03-08-2022
1007,030616121230,Changbin,A002,Dutch Lady,3,03-08-2022
1007,030616121230,Changbin,A004,Dutch Lady,3,03-08-2022
1008,001020011000,Afiqah,A001,Nongshim Shin Cup,5,03-08-2022
1009,741201092021,Yunho,A001,Pringles,4,03-08-2022
1009,741201092021,Yunho,A002,Cadbury Chocolate,11,03-08-2022
1009,741201092021,Yunho,A003,Yogurt,7,03-08-2022
1009,741201092021,Yunho,A004,Kinder Joy,7,03-08-2022
1009,741201092021,Yunho,A005,Ramen,8,03-08-2022
1010,700607000111,Yeji,A001,Cookies,6,04-08-2022
1010,700607000111,Yeji,A002,Kuaci,5,04-08-2022
1011,990913000909,Yeonjun,A001,Nongshim Shin Cup,5,04-08-2022
1011,990913000909,Yeonjun,A002,Nongshim Shin Cup,5,04-08-2022
1012,761102092134,Asahi,A001,Nongshim Shin Cup,5,04-08-2022
1012,761102092134,Asahi,A002,Coca-Cola,5,04-08-2022
1013,890101109908,Jongseong,A001,Protein Bar,4,04-08-2022
1013,890101109908,Jongseong,A002,Protein Bar,4,04-08-2022
1013,890101109908,Jongseong,A003,Protein Bar,4,04-08-2022
1013,890101109908,Jongseong,A004,Dutch Lady,3,04-08-2022
1013,890101109908,Jongseong,A005,Dutch Lady,3,04-08-2022
1013,890101109908,Jongseong,A006,Haribo,5,04-08-2022
1013,890101109908,Jongseong,A007,Cornetto,12,04-08-2022
1013,890101109908,Jongseong,A008,Protein Bar,4,04-08-2022
1014,000909112398,Hyunjin,A001,Dutch Lady,3,05-08-2022
1014,000909112398,Hyunjin,A002,Pringles,4,05-08-2022
1014,000909112398,Hyunjin,A003,Mini Rolls,3,05-08-2022
1015,020913000958,Melur,A001,Potato Chips,6,05-08-2022
1015,020913000958,Melur,A002,Potato Chips,6,05-08-2022
1015,020913000958,Melur,A003,Tropicana Twister,10,05-08-2022
1015,020913000958,Melur,A004,Kuaci,5,05-08-2022
1015,020913000958,Melur,A005,Cereal,5,05-08-2022
1016,020910145087,Yoshi,A001,Ramen,8,06-08-2022
1016,020910145087,Yoshi,A002,Nutella,18,06-08-2022
1016,020910145087,Yoshi,A003,Mamee Monster,5,06-08-2022
1016,020910145087,Yoshi,A004,Margerine,10,06-08-2022
1016,020910145087,Yoshi,A005,Bateries,14,06-08-2022
1016,020910145087,Yoshi,A006,Cadbury,8,06-08-2022
1017,851010013333,Felix,A001,Pen,2,06-08-2022
1018,851010013333,Felix,A002,Ramen,8,06-08-2022
1018,851010013333,Felix,A003,Ramen,8,06-08-2022
1018,851010013333,Felix,A004,Gardenia,6,06-08-2022
1018,851010013333,Felix,A005,Walls Solero,11,06-08-2022
1018,851010013333,Felix,A006,Nutella,18,06-08-2022
